step,seed,avg_eval_return,var_eval_return,num_evals_used,mean_eval_success
6000,0,370.2616648674011,5099.853561504349,5,0.0
12000,0,550.4135160923004,96879.10207516335,5,0.0
18000,0,1223.8001302242278,110030.4292011636,5,0.0
24000,0,1501.1211833000184,4177.589212832571,5,0.0
30000,0,1579.9486454486846,723.8634058651659,5,0.0
36000,0,1485.8791377544403,9371.06716513879,5,0.0
42000,0,1412.6453998088837,95938.9155211465,5,0.0
48000,0,1556.3660677433013,693.7892171486259,5,0.0
54000,0,1539.3216644287108,1049.8673664694509,5,0.0
60000,0,1508.880350780487,5468.228158188866,5,0.0
66000,0,1503.804272031784,9780.167632559813,5,0.0
72000,0,1614.6005261421203,873.7121949772888,5,0.0
78000,0,1481.6372195720674,9918.213781375978,5,0.0
84000,0,1587.9716881752015,3218.7221701021963,5,0.0
90000,0,1475.659264945984,24527.58084717646,5,0.0
96000,0,1553.5868594169617,7140.085476254592,5,0.0
102000,0,1620.5852306365966,4304.199120658941,5,0.0
108000,0,1673.8677753448487,8159.678601222795,5,0.0
114000,0,1614.930796289444,103.08980612117809,5,0.0
120000,0,1644.3556675434113,1419.3136785054521,5,0.0
126000,0,1709.8725154399872,2538.8948094924085,5,0.0
132000,0,1678.256575345993,1434.1946682221603,5,0.0
138000,0,1578.8066191673279,781.8713005684754,5,0.0
144000,0,1630.6327600479126,12120.417615570397,5,0.0
