step,seed,avg_eval_return,var_eval_return,mean_eval_success
6000,1,419.7065799713135,2550.1202211073182,0.0
12000,1,840.1768538475037,102450.55455801627,0.0
18000,1,602.9380059957505,101763.09760363061,0.0
24000,1,433.8888119220734,40583.90650351344,0.0
30000,1,1173.58844499588,27734.17291036044,0.0
36000,1,1309.2259931087494,18964.628774964454,0.0
42000,1,1418.1205210208893,25232.418195359074,0.0
48000,1,1401.1830773830413,10413.207149361988,0.0
54000,1,1462.260376405716,444.35118777269975,0.0
60000,1,1303.7763798713684,23697.06518780676,0.0
66000,1,1474.7591955661774,8848.64287294524,0.0
72000,1,1435.7531354904174,13612.827968401501,0.0
78000,1,1493.0602087020875,11192.028855026532,0.0
84000,1,1523.0773635864257,172.91280454003783,0.0
90000,1,1525.198566389084,1774.8721712256615,0.0
96000,1,1515.7364427089692,9230.19740081043,0.0
102000,1,1408.5963156700134,78153.4068890292,0.0
108000,1,1037.1793835163116,84327.24970615521,0.0
114000,1,1693.7461293697356,9776.90472403638,0.0
120000,1,1630.8360533237458,27012.248121200966,0.0
126000,1,1737.364496421814,84447.25798634955,0.4
132000,1,1659.8101435184478,18665.683774968977,0.0
138000,1,1826.8748435497284,180684.9353038666,0.0
144000,1,1217.24609375,275243.08917491697,0.4
